label,text
ham,Привет, как твои дела?
ham,Напоминаю про встречу завтра в 11 утра
ham,Спасибо за информацию, всё понятно
ham,Где будет проходить собрание сотрудников?
ham,Можешь перезвонить мне после 18:00?
ham,Отправь мне документы, когда освободишься
ham,Ты будешь присутствовать на конференции?
ham,Давай перенесём совещание на четверг
ham,Получил твоё письмо, благодарю
ham,Когда ожидать готовый отчёт?
ham,Извини, не смогу прийти сегодня
ham,Что насчёт проекта по машинному обучению?
ham,Готов обсудить детали завтра
ham,Нужна твоя помощь с презентацией
ham,Отправляю тебе материалы по проекту
ham,Давай перенесём обсуждение на завтра
ham,Получил SMS, перезваниваю позже
ham,Скинул тебе файл на почту, проверь
ham,Спасибо за оперативный ответ
ham,Когда будет готово ТЗ?
ham,Напомни мне про встречу в пятницу
ham,Где оставили ключи от офиса?
ham,Какие новости по клиенту?
ham,Когда приедет курьер с документами?
ham,Нужно обновить данные в системе
ham,Присылаю контакты нового клиента
ham,Давай созвонимся в 15:00
ham,Забыл спросить про бюджет проекта
ham,Проверил отчет, все ок
ham,Жду твоего звонка после обеда
spam,Выиграй новый iPhone 14 прямо сейчас!
spam,СРОЧНО! Ваш банковский аккаунт заблокирован!
spam,Бесплатный курс Data Science - регистрация открыта!
spam,Кредитная карта с лимитом 500000 руб. - получите сейчас!
spam,Заработок от 150000 руб. в день без вложений
spam,Поздравляем! Вы выиграли 1000000 рублей!
spam,Акция! Скидка 80% только до конца дня
spam,Ваша дебетовая карта заблокирована - позвоните 8800...
spam,Инвестиции с гарантированной доходностью 250%
spam,Эксклюзивное предложение только для вас
spam,Розыгрыш автомобиля! Участвуй сейчас!
spam,Ваш номер выиграл в лотерее - заберите приз
spam,Секретный способ заработка в интернете
spam,Подпишись и получи 5000 руб. на телефон
spam,Срочный кредит без отказа - одобрение за 5 минут
spam,Твой заказ на доставку еды готов
spam,Ваш пакет не может быть доставлен. 
spam,Срок действия вашей карты истекает! 
spam,У вас 1 новое голосовое сообщение. 
